Date,Open,High,Low,Close,Volume
2016-01-04,147500.0,148000.0,143500.0,144000.0,445332.0
2016-01-05,143000.0,145000.0,142000.0,143500.0,530496.0
2016-01-06,144000.0,145000.0,139000.0,140000.0,769406.0
2016-01-07,138500.0,140000.0,137500.0,137500.0,586187.0
2016-01-08,134500.0,138000.0,133500.0,136500.0,888701.0
2016-01-11,134500.0,140500.0,134000.0,140000.0,542749.0
2016-01-12,140500.0,141500.0,139000.0,139500.0,386506.0
2016-01-13,140500.0,141500.0,139500.0,140500.0,338336.0
2016-01-14,138500.0,143500.0,136500.0,141000.0,664829.0
2016-01-15,141000.0,142000.0,136500.0,138500.0,568653.0
2016-01-18,137500.0,140000.0,135500.0,139000.0,400716.0
2016-01-19,138000.0,140000.0,136000.0,140000.0,332956.0
2016-01-20,139500.0,140000.0,135500.0,136500.0,544330.0
2016-01-21,136000.0,138000.0,135500.0,137000.0,455723.0
2016-01-22,138000.0,140500.0,136500.0,139000.0,551671.0
2016-01-25,140000.0,140500.0,136000.0,137500.0,543064.0
2016-01-26,136500.0,137000.0,134500.0,136000.0,564584.0
2016-01-27,135500.0,137000.0,134500.0,137000.0,702981.0
2016-01-28,135500.0,136500.0,134500.0,135000.0,480730.0
2016-01-29,135000.0,136000.0,131000.0,133000.0,990382.0
2016-02-01,132000.0,132500.0,130500.0,132500.0,689972.0
2016-02-02,131500.0,132500.0,129000.0,129500.0,594441.0
2016-02-03,127500.0,129500.0,126500.0,129000.0,649021.0
2016-02-04,130000.0,132500.0,129500.0,132500.0,600523.0
2016-02-05,132000.0,133500.0,131000.0,133500.0,513150.0
2016-02-11,130500.0,132500.0,130500.0,131000.0,688873.0
2016-02-12,131500.0,137500.0,131000.0,137000.0,1264928.0
2016-02-15,137500.0,141500.0,135000.0,139500.0,879160.0
2016-02-16,139500.0,142500.0,137500.0,141000.0,524822.0
2016-02-17,142000.0,147500.0,141000.0,147000.0,772996.0
2016-02-18,147500.0,149000.0,145500.0,147000.0,468798.0
2016-02-19,147000.0,151000.0,147000.0,149000.0,477553.0
2016-02-22,147500.0,148500.0,146000.0,147500.0,273335.0
2016-02-23,148000.0,149000.0,146500.0,149000.0,250401.0
2016-02-24,147500.0,150000.0,146500.0,149000.0,191286.0
2016-02-25,149500.0,153000.0,145500.0,147000.0,490265.0
2016-02-26,148000.0,148000.0,144500.0,147000.0,351408.0
2016-02-29,145500.0,149000.0,144500.0,147500.0,570117.0
2016-03-02,150000.0,150000.0,148000.0,150000.0,539821.0
2016-03-03,151500.0,151500.0,146000.0,147500.0,627810.0
2016-03-04,146000.0,147500.0,143500.0,147500.0,696287.0
2016-03-07,147500.0,147500.0,145500.0,146500.0,317439.0
2016-03-08,145000.0,149500.0,145000.0,148000.0,366489.0
2016-03-09,147000.0,149500.0,146500.0,149500.0,452965.0
2016-03-10,149000.0,150000.0,148000.0,148000.0,690061.0
2016-03-11,147500.0,150000.0,147500.0,149000.0,408175.0
2016-03-14,150000.0,150500.0,147000.0,148500.0,362075.0
2016-03-15,148500.0,149000.0,146000.0,147000.0,309077.0
2016-03-16,147000.0,148000.0,145500.0,146500.0,206136.0
2016-03-17,148000.0,148500.0,146000.0,146500.0,492380.0
2016-03-18,148000.0,150500.0,147500.0,150500.0,769047.0
2016-03-21,151000.0,155000.0,149500.0,154500.0,803657.0
2016-03-22,155500.0,159000.0,155000.0,159000.0,872121.0
2016-03-23,159500.0,159500.0,157000.0,158000.0,454762.0
2016-03-24,156500.0,157000.0,154500.0,155500.0,288522.0
2016-03-25,154500.0,155500.0,152000.0,153000.0,279961.0
2016-03-28,153000.0,156500.0,152000.0,154000.0,186865.0
2016-03-29,155000.0,156000.0,153500.0,155000.0,229075.0
2016-03-30,156000.0,159000.0,155000.0,155500.0,373060.0
2016-03-31,156000.0,156000.0,151500.0,152500.0,575626.0
2016-04-01,152500.0,152500.0,147500.0,149500.0,604435.0
2016-04-04,148500.0,149500.0,143500.0,144000.0,767267.0
2016-04-05,144000.0,145000.0,143500.0,144500.0,292339.0
2016-04-06,144000.0,146000.0,144000.0,144000.0,379789.0
2016-04-07,143500.0,146500.0,143500.0,146500.0,366852.0
2016-04-08,146000.0,146500.0,144000.0,146000.0,339546.0
2016-04-11,147500.0,147500.0,145000.0,146000.0,197423.0
2016-04-12,146000.0,150000.0,145000.0,148500.0,361212.0
2016-04-14,150000.0,152000.0,149500.0,152000.0,496852.0
2016-04-15,150500.0,152000.0,149000.0,151500.0,297722.0
2016-04-18,150000.0,155000.0,150000.0,154000.0,406339.0
2016-04-19,155000.0,155000.0,152000.0,153000.0,310407.0
2016-04-20,153500.0,155000.0,151000.0,151500.0,270230.0
2016-04-21,152000.0,154500.0,152000.0,154000.0,297646.0
2016-04-22,152000.0,153500.0,150500.0,151000.0,318972.0
2016-04-25,151000.0,152000.0,149000.0,149500.0,273343.0
2016-04-26,149000.0,154000.0,149000.0,153500.0,365930.0
2016-04-27,152000.0,153000.0,148500.0,149000.0,374037.0
2016-04-28,148500.0,150500.0,147000.0,148000.0,466520.0
2016-04-29,146500.0,147500.0,142000.0,143500.0,739237.0
2016-05-02,142000.0,144000.0,141500.0,142500.0,242036.0
2016-05-03,143000.0,144000.0,142000.0,142500.0,359029.0
2016-05-04,141500.0,142000.0,138500.0,139000.0,807340.0
2016-05-09,138500.0,139000.0,135500.0,135500.0,482746.0
2016-05-10,136500.0,140500.0,136500.0,139500.0,346710.0
2016-05-11,140500.0,142000.0,138500.0,139000.0,284228.0
2016-05-12,138000.0,138500.0,136500.0,136500.0,421047.0
2016-05-13,136000.0,137500.0,135000.0,135000.0,529746.0
2016-05-16,136500.0,137500.0,135000.0,135500.0,397771.0
2016-05-17,135500.0,136500.0,134500.0,134500.0,314839.0
2016-05-18,135000.0,135500.0,132000.0,133000.0,630692.0
2016-05-19,132500.0,136000.0,132500.0,134500.0,389055.0
