Date,Open,High,Low,Close,Volume
20160104,147500.0,148000.0,143500.0,144000.0,445332.0
20160105,143000.0,145000.0,142000.0,143500.0,530496.0
20160106,144000.0,145000.0,139000.0,140000.0,769406.0
20160107,138500.0,140000.0,137500.0,137500.0,586187.0
20160108,134500.0,138000.0,133500.0,136500.0,888701.0
20160111,134500.0,140500.0,134000.0,140000.0,542749.0
20160112,140500.0,141500.0,139000.0,139500.0,386506.0
20160113,140500.0,141500.0,139500.0,140500.0,338336.0
20160114,138500.0,143500.0,136500.0,141000.0,664829.0
20160115,141000.0,142000.0,136500.0,138500.0,568653.0
20160118,137500.0,140000.0,135500.0,139000.0,400716.0
20160119,138000.0,140000.0,136000.0,140000.0,332956.0
20160120,139500.0,140000.0,135500.0,136500.0,544330.0
20160121,136000.0,138000.0,135500.0,137000.0,455723.0
20160122,138000.0,140500.0,136500.0,139000.0,551671.0
20160125,140000.0,140500.0,136000.0,137500.0,543064.0
20160126,136500.0,137000.0,134500.0,136000.0,564584.0
20160127,135500.0,137000.0,134500.0,137000.0,702981.0
20160128,135500.0,136500.0,134500.0,135000.0,480730.0
20160129,135000.0,136000.0,131000.0,133000.0,990382.0
20160201,132000.0,132500.0,130500.0,132500.0,689972.0
20160202,131500.0,132500.0,129000.0,129500.0,594441.0
20160203,127500.0,129500.0,126500.0,129000.0,649021.0
20160204,130000.0,132500.0,129500.0,132500.0,600523.0
20160205,132000.0,133500.0,131000.0,133500.0,513150.0
20160211,130500.0,132500.0,130500.0,131000.0,688873.0
20160212,131500.0,137500.0,131000.0,137000.0,1264928.0
20160215,137500.0,141500.0,135000.0,139500.0,879160.0
20160216,139500.0,142500.0,137500.0,141000.0,524822.0
20160217,142000.0,147500.0,141000.0,147000.0,772996.0
20160218,147500.0,149000.0,145500.0,147000.0,468798.0
20160219,147000.0,151000.0,147000.0,149000.0,477553.0
20160222,147500.0,148500.0,146000.0,147500.0,273335.0
20160223,148000.0,149000.0,146500.0,149000.0,250401.0
20160224,147500.0,150000.0,146500.0,149000.0,191286.0
20160225,149500.0,153000.0,145500.0,147000.0,490265.0
20160226,148000.0,148000.0,144500.0,147000.0,351408.0
20160229,145500.0,149000.0,144500.0,147500.0,570117.0
20160302,150000.0,150000.0,148000.0,150000.0,539821.0
20160303,151500.0,151500.0,146000.0,147500.0,627810.0
20160304,146000.0,147500.0,143500.0,147500.0,696287.0
20160307,147500.0,147500.0,145500.0,146500.0,317439.0
20160308,145000.0,149500.0,145000.0,148000.0,366489.0
20160309,147000.0,149500.0,146500.0,149500.0,452965.0
20160310,149000.0,150000.0,148000.0,148000.0,690061.0
20160311,147500.0,150000.0,147500.0,149000.0,408175.0
20160314,150000.0,150500.0,147000.0,148500.0,362075.0
20160315,148500.0,149000.0,146000.0,147000.0,309077.0
20160316,147000.0,148000.0,145500.0,146500.0,206136.0
20160317,148000.0,148500.0,146000.0,146500.0,492380.0
20160318,148000.0,150500.0,147500.0,150500.0,769047.0
20160321,151000.0,155000.0,149500.0,154500.0,803657.0
20160322,155500.0,159000.0,155000.0,159000.0,872121.0
20160323,159500.0,159500.0,157000.0,158000.0,454762.0
20160324,156500.0,157000.0,154500.0,155500.0,288522.0
20160325,154500.0,155500.0,152000.0,153000.0,279961.0
20160328,153000.0,156500.0,152000.0,154000.0,186865.0
20160329,155000.0,156000.0,153500.0,155000.0,229075.0
20160330,156000.0,159000.0,155000.0,155500.0,373060.0
20160331,156000.0,156000.0,151500.0,152500.0,575626.0
20160401,152500.0,152500.0,147500.0,149500.0,604435.0
20160404,148500.0,149500.0,143500.0,144000.0,767267.0
20160405,144000.0,145000.0,143500.0,144500.0,292339.0
20160406,144000.0,146000.0,144000.0,144000.0,379789.0
20160407,143500.0,146500.0,143500.0,146500.0,366852.0
20160408,146000.0,146500.0,144000.0,146000.0,339546.0
20160411,147500.0,147500.0,145000.0,146000.0,197423.0
20160412,146000.0,150000.0,145000.0,148500.0,361212.0
20160414,150000.0,152000.0,149500.0,152000.0,496852.0
20160415,150500.0,152000.0,149000.0,151500.0,297722.0
20160418,150000.0,155000.0,150000.0,154000.0,406339.0
20160419,155000.0,155000.0,152000.0,153000.0,310407.0
20160420,153500.0,155000.0,151000.0,151500.0,270230.0
20160421,152000.0,154500.0,152000.0,154000.0,297646.0
20160422,152000.0,153500.0,150500.0,151000.0,318972.0
20160425,151000.0,152000.0,149000.0,149500.0,273343.0
20160426,149000.0,154000.0,149000.0,153500.0,365930.0
20160427,152000.0,153000.0,148500.0,149000.0,374037.0
20160428,148500.0,150500.0,147000.0,148000.0,466520.0
20160429,146500.0,147500.0,142000.0,143500.0,739237.0
20160502,142000.0,144000.0,141500.0,142500.0,242036.0
20160503,143000.0,144000.0,142000.0,142500.0,359029.0
20160504,141500.0,142000.0,138500.0,139000.0,807340.0
20160509,138500.0,139000.0,135500.0,135500.0,482746.0
20160510,136500.0,140500.0,136500.0,139500.0,346710.0
20160511,140500.0,142000.0,138500.0,139000.0,284228.0
20160512,138000.0,138500.0,136500.0,136500.0,421047.0
20160513,136000.0,137500.0,135000.0,135000.0,529746.0
20160516,136500.0,137500.0,135000.0,135500.0,397771.0
20160517,135500.0,136500.0,134500.0,134500.0,314839.0
20160518,135000.0,135500.0,132000.0,133000.0,630692.0
20160519,132500.0,136000.0,132500.0,134500.0,389055.0
20160520,134000.0,135000.0,131500.0,132000.0,462176.0
20160523,133000.0,134500.0,133000.0,133000.0,310458.0
20160524,133000.0,135000.0,132000.0,133500.0,355717.0
20160525,134500.0,137000.0,134000.0,135000.0,500528.0
20160526,136000.0,137000.0,134500.0,135000.0,342299.0
20160527,136000.0,136500.0,135000.0,136000.0,346406.0
20160530,136000.0,137500.0,135000.0,136500.0,474129.0
20160531,136500.0,139500.0,135000.0,139500.0,1734508.0
20160601,137500.0,138500.0,136500.0,138000.0,507997.0
